,year_produce,brand,model,car_type,gear_type,engine_cap,year_extracted,mileage,old_price
3005,2009,Perodua,Myvi,Used,Automatic,1.3,2018,87500,25000
3006,2008,Perodua,Myvi,Used,Automatic,1.3,2018,82500,21000
3007,2012,Perodua,Myvi,Used,Automatic,1.3,2018,37000,29800
3008,2004,Perodua,Kelisa,Used,Automatic,1,2018,192500,13800
3009,2006,Perodua,Kenari,Used,Automatic,1,2018,97500,15800
3010,2010,Perodua,Alza,Used,Automatic,1.5,2018,2500,34800
3011,2006,Perodua,Myvi,Used,Automatic,1.3,2018,87500,15790
3012,2013,Perodua,Myvi,Used,Automatic,1.5,2018,62500,35350
3013,2010,Perodua,Myvi,Used,Automatic,1.3,2018,82500,20900
3014,2007,Perodua,Myvi,Used,Automatic,1.3,2018,87500,15700
3015,2011,Perodua,Myvi,Used,Automatic,1.3,2018,47500,22300
3016,2009,Perodua,Myvi,Used,Automatic,1.3,2018,77500,18700
3017,2012,Perodua,Alza,Used,Automatic,1.5,2018,77500,32800
3018,2012,Perodua,Alza,Used,Automatic,1.5,2018,72500,34800
3019,2009,Perodua,Myvi,Used,Manual,1,2018,87500,16800
3020,2007,Perodua,Myvi,Used,Automatic,1.3,2018,82500,15700
3021,1999,Perodua,Kancil,Used,Manual,0.7,2018,97500,3700
3022,2013,Perodua,Viva,Used,Automatic,1,2018,37500,21700
3023,2005,Perodua,Kelisa,Used,Manual,1,2018,97500,8800
3024,2011,Perodua,Alza,Used,Automatic,1.5,2018,42500,34800
3025,2013,Perodua,Myvi,Used,Automatic,1.3,2018,32500,29800
3026,2011,Perodua,Alza,Used,Automatic,1.5,2018,49000,39800
3027,2006,Perodua,Kancil,Used,Manual,0.8,2018,90000,9800
3028,2010,Perodua,Myvi,Used,Automatic,1.3,2018,50000,30800
3029,2010,Perodua,Viva,Used,Automatic,0.8,2018,50000,19800
3030,2006,Perodua,Kenari,Used,Automatic,1,2018,90000,18800
