,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
1627,2021,Honda,City,Used,Automatic,1498,62499.5,63800
1628,2021,Bmw,330E,Used,Automatic,1998,32499.5,145800
1629,2022,Perodua,Bezza,Used,Automatic,1329,47499.5,39700
1630,2016,Honda,City,Used,Automatic,1497,87499.5,38800
1631,2012,Subaru,Impreza,Used,Automatic,2457,97499.5,68800
1632,2016,Kia,Sportage,Used,Automatic,1999,82499.5,46600
1633,2018,Mini,John,Used,Automatic,1998,77499.5,144800
1634,2018,Mercedes,Benz,Used,Automatic,1595,62499.5,122800
1635,2023,Perodua,Alza,Used,Automatic,1495,17499.5,64800
1636,2020,Perodua,Myvi,Used,Automatic,1496,82499.5,41800
1637,2021,Proton,X70,Used,Automatic,1799,22499.5,62770
1638,2020,Honda,Civic,Used,Automatic,1498,62499.5,89770
1639,2020,Honda,City,Used,Automatic,1497,42499.5,47770
1640,2016,Honda,City,Used,Automatic,1497,62499.5,36770
1641,2021,Mazda,Cx-30,Used,Automatic,1998,32499.5,103770
1642,2021,Proton,X50,Used,Automatic,1477,22499.5,64770
1643,2014,Honda,City,Used,Automatic,1497,97499.5,27800
1644,2018,Honda,Civic,Used,Automatic,1498,67499.5,75770
1645,2017,Perodua,Alza,Used,Automatic,1495,124999.5,32800
1646,2019,Toyota,Innova,Used,Automatic,1998,72499.5,80770
1647,2021,Perodua,Myvi,Used,Automatic,1496,67499.5,45800
1648,2017,Toyota,Vios,Used,Automatic,1496,82499.5,42770
1649,2019,Honda,Civic,Used,Automatic,1498,72499.5,88800
1650,2019,Nissan,Navara,Used,Automatic,2488,87499.5,62770
1651,2014,Nissan,Almera,Used,Automatic,1498,87499.5,16888
1652,2019,Toyota,Hilux,Used,Automatic,2755,97499.5,89800
1653,2017,Ford,Ranger,Used,Automatic,2198,77499.5,50770
1654,2017,Honda,Br-V,Used,Automatic,1497,72499.5,37770
1655,2019,Nissan,X-Trail,Used,Automatic,1997,57499.5,64770
1656,2015,Honda,Civic,Used,Automatic,1997,82499.5,39770
1657,2018,Mercedes,Benz,Used,Automatic,1991,37499.5,123770
1658,2017,Toyota,Harrier,Used,Automatic,1986,87499.5,107800
1659,2019,Honda,Jazz,Used,Automatic,1497,67499.5,56770
1660,2014,Honda,City,Used,Automatic,1497,87499.5,28770
1661,2018,Bmw,530E,Used,Automatic,1998,62499.5,91770
1662,2011,Proton,Exora,Used,Automatic,1597,174999.5,12500
1663,2013,Hyundai,Santa,Used,Automatic,2359,92499.5,29770
1664,2017,Perodua,Myvi,Used,Automatic,1495,67499.5,37770
1665,2015,Toyota,Vios,Used,Automatic,1497,104999.5,38770
1666,2017,Honda,Civic,Used,Automatic,1799,87499.5,60770
1667,2012,Honda,Civic,Used,Automatic,1798,97499.5,27770
1668,2021,Proton,Persona,Used,Automatic,1597,47499.5,32770
1669,2019,Honda,Hr-V,Used,Automatic,1799,72499.5,67770
