,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
369,2015,Honda,HR-V,used,Automatic,1.8,107500.0,54800.0
370,2015,Mercedes-Benz,CLA200,used,Automatic,1.6,107500.0,101800.0
371,2014,Toyota,Vios,used,Automatic,1.5,92500.0,43800.0
372,2017,nan,,used,Automatic,2.0,57500.0,158800.0
373,2014,Honda,City,used,Automatic,1.5,77500.0,39800.0
374,2016,Mazda,CX-5,used,Automatic,2.0,132500.0,63999.0
375,2014/2016,Toyota,Harrier,used,Automatic,2.0,82500.0,104999.0
376,2018,BMW,330e,used,Automatic,2.0,102500.0,89800.0
377,2017,Honda,Jazz,used,Automatic,1.5,107500.0,56800.0
378,2018,nan,,used,Automatic,2.0,107500.0,218000.0
379,2015,Honda,Jazz,used,Automatic,1.5,87500.0,49999.0
380,2014,Toyota,Vios,used,Automatic,1.5,92500.0,37999.0
381,2015,Nissan,X-Trail,used,Automatic,2.0,77500.0,44800.0
382,2017,Mercedes-Benz,E250,used,Automatic,2.0,52500.0,185000.0
383,2014/2019,Toyota,Alphard,used,Automatic,2.4,142500.0,109800.0
384,2013,Honda,Civic,used,Automatic,2.0,97500.0,39800.0
385,2015,BMW,X5,used,Automatic,3.0,87500.0,125800.0
386,2018,Peugeot,3008,used,Automatic,1.6,72500.0,62800.0
387,2014,BMW,320i,used,Automatic,2.0,122500.0,64800.0
