,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,year_extracted,old_price
85,2013,Honda,Cr-V,Used,Automatic,2,174999.5,2025,29800
86,2018,Honda,Civic,Used,Automatic,1.8,77499.5,2025,66800
87,2012,Bmw,328I,Used,Automatic,2,124999.5,2025,44988
88,2019,Toyota,Yaris,Used,Automatic,1.5,92499.5,2025,52788
89,2013,Mazda,3,Used,Automatic,2,104999.5,2025,28788
90,2017,Honda,Civic,Used,Automatic,1.5,114999.5,2025,79288
91,2016,Toyota,Vellfire,Used,Automatic,2.5,134999.5,2025,163888
92,2014,Land,Cruiser,Used,Automatic,4.6,77499.5,2025,208800
93,2022,Suzuki,Swift,Recon,Automatic,1.4,17499.5,2025,120000
94,2021,Toyota,Harrier,Recon,Automatic,2,32499.5,2025,184000
95,2023,Toyota,Vellfire,Recon,Automatic,2.4,2499.5,2025,440000
96,2018,Honda,City,Used,Automatic,1.5,57499.5,2025,43999
97,2016,Mazda,2,Used,Automatic,1.5,62499.5,2025,36999
99,2018,Volkswagen,Polo,Used,Automatic,1.6,72499.5,2025,30999
100,2020,Honda,Civic,Used,Automatic,1.5,57499.5,2025,86999
103,2021,Nissan,Almera,Used,Automatic,1,97499.5,2025,60800
104,2019,Ford,Ranger,Used,Automatic,2,104999.5,2025,84000
105,2010,Toyota,Vios,Used,Automatic,1.5,114999.5,2025,26800
107,2021,Perodua,Myvi,Used,Automatic,1.3,77499.5,2025,39800
109,2017,Toyota,Vellfire,Used,Automatic,2.5,72499.5,2025,162000
110,2014,Toyota,Estima,Used,Automatic,2.4,124999.5,2025,63900
111,2019,Bmw,330I,Used,Automatic,2,27499.5,2025,180000
112,2011,Proton,Persona,Used,Automatic,1.6,124999.5,2025,10900
115,2022,Toyota,Vios,Used,Automatic,1.5,42499.5,2025,67800
116,2021,Perodua,Axia,Used,Automatic,1,47499.5,2025,28800
117,2013,Proton,Saga,Used,Automatic,1.3,52499.5,2025,11800
118,2017,Toyota,Vios,Used,Automatic,1.5,82499.5,2025,54800
121,2020,Audi,Rs,Recon,Automatic,4,32499.5,2025,799000
124,2013,Toyota,Vios,Used,Automatic,1.5,97499.5,2025,37800
125,2020,Proton,X70,Used,Automatic,1.8,52499.5,2025,68800
126,2016,Nissan,Almera,Used,Automatic,1.5,82499.5,2025,23800
127,2019,Proton,X70,Used,Automatic,1.8,32499.5,2025,58800
130,2025,Proton,Saga,New,Automatic,1.3,2499.5,2025,33000
132,2025,Toyota,Corolla,New,Automatic,1.8,2499.5,2025,138800
133,2022,Mercedes,,Recon,Automatic,4,22499.5,2025,1133000
134,2021,Mercedes,,Used,Automatic,2,27499.5,2025,172800
135,2019,Mercedes,,Used,Automatic,2,47499.5,2025,218800
136,2021,Mercedes,,Used,Automatic,2,27499.5,2025,184800
137,2022,Mercedes,,Used,Automatic,2,37499.5,2025,249800
139,2019,Mercedes,,Used,Automatic,2,72499.5,2025,253800
140,2018,Perodua,Myvi,Used,Automatic,1.5,62499.5,2025,0
141,2018,Mercedes,,Used,Automatic,1.3,47499.5,2025,0
142,2019,Mercedes,,Recon,Automatic,2,32499.5,2025,0
143,2021,Mercedes,,Recon,Automatic,2,17499.5,2025,0
144,2018,Honda,City,Used,Automatic,1.5,87499.5,2025,52800
145,2017,Bmw,X5,Used,Automatic,2,82499.5,2025,85800
147,2016,Perodua,Myvi,Used,Automatic,1.5,114999.5,2025,27800
148,2016,Mercedes,,Used,Automatic,2,97499.5,2025,87800
149,2014,Mercedes,,Used,Automatic,2,114999.5,2025,75800
150,2018,Toyota,Corolla,Used,Automatic,1.8,114999.5,2025,61800
151,2019,Proton,Saga,Used,Automatic,1.3,77499.5,2025,24800
155,2021,Mazda,Cx-5,Used,Automatic,2,52499.5,2025,111000
156,2021,Toyota,Alphard,Recon,Automatic,2.5,27499.5,2025,219000
157,2021,Toyota,Alphard,Recon,Automatic,2.5,32499.5,2025,225000
159,2014,Perodua,Alza,Used,Automatic,1.5,82499.5,2025,29800
160,2018,Honda,Jazz,Used,Automatic,1.5,67499.5,2025,46999
161,2016,Honda,Hr-V,Used,Automatic,1.8,67499.5,2025,46999
162,2017,Nissan,X-Trail,Used,Automatic,2,62499.5,2025,39999
163,2017,BMW,320I,Used,Automatic,2,72499.5,2025,75999
164,2021,Proton,Persona,Used,Automatic,1.6,104999.5,2025,37800
165,2014,Honda,Jazz,Used,Automatic,1.5,104999.5,2025,43800
166,2015,Honda,Accord,Used,Automatic,2,82499.5,2025,47800
167,2015,Toyota,Vellfire,Used,Automatic,2.5,77499.5,2025,159800
168,2017,Volvo,Xc90,Used,Automatic,2,104999.5,2025,99900
169,2021,Toyota,Hilux,Used,Automatic,2.4,32499.5,2025,99888
170,2022,Proton,X50,Used,Automatic,1.5,32499.5,2025,76800
171,2016,Toyota,Vios,Used,Automatic,1.5,87499.5,2025,34888
172,2010,Honda,Freed,Used,Automatic,1.5,114999.5,2025,30888
173,2019,Honda,City,Used,Automatic,1.5,57499.5,2025,51888
174,2021,Toyota,Vios,Used,Automatic,1.5,27499.5,2025,63888
175,2015,Honda,City,Used,Automatic,1.5,92499.5,2025,32888
176,2017,Honda,City,Used,Automatic,1.5,77499.5,2025,48888
177,2013,Honda,City,Used,Automatic,1.5,92499.5,2025,23888
178,2010,Perodua,Alza,Used,Automatic,1.5,104999.5,2025,23800
179,2022,Honda,City,Used,Automatic,1.5,47499.5,2025,75800
180,2020,Honda,Civic,Used,Automatic,1.8,12499.5,2025,84800
181,2014,Toyota,Vios,Used,Automatic,1.5,134999.5,2025,41800
182,2016,Perodua,Alza,Used,Automatic,1.5,124999.5,2025,37800
183,2022,Perodua,Myvi,Used,Automatic,1.5,27499.5,2025,48800
184,2007,Mercedes,,Used,Automatic,1.8,184999.5,2025,18600
185,2014,Proton,Saga,Used,Automatic,1.3,124999.5,2025,10900
186,2017,Nissan,X-Trail,Used,Automatic,2,114999.5,2025,52900
187,2025,Perodua,Myvi,New,Automatic,1.5,2499.5,2025,59610
188,2025,Perodua,Axia,New,Automatic,1,2499.5,2025,49280
189,2025,Perodua,Ativa,New,Automatic,1,2499.5,2025,73180
190,2025,Perodua,Ativa,New,Automatic,1,2499.5,2025,73180
191,2019,Ford,Ranger,Used,Automatic,2,72499.5,2025,77800
192,2016,Honda,Civic,Used,Automatic,1.5,134999.5,2025,77800
193,2022,Proton,X50,Used,Automatic,1.5,32499.5,2025,83800
194,2021,Proton,Persona,Used,Automatic,1.6,52499.5,2025,37800
195,2006,Toyota,Landcruiser,Used,Automatic,4.2,104999.5,2025,120000
196,2020,Porsche,718,Recon,Automatic,2,32499.5,2025,365000
197,2018,Mercedes,Amg,Used,Automatic,4,57499.5,2025,565000
198,2019,Toyota,Avanza,Used,Automatic,1.5,77499.5,2025,0
199,2020,Toyota,Harrier,Recon,Automatic,2,17499.5,2025,0
